A,B,C,D,E,F
6,38.22,3,-18.71,-2.05213,-5.63815
3,20.06,17,23.38,-20.2254,-14.6946
10,62.31,11,5.52,-57.3577,-81.9152
21,128.08,29,58.98,-19.8542,-49.1407
23,140.49,28,56.27,72.8226,83.7727
22,134.5,19,29.42,64.9973,11.4608
13,80.38,6,-9.93,29.3862,76.5536
24,146.01,28,56.04,0,0
17,104.18,32,68.23,-52.9856,-23.5907
11,68.35,31,65.08,2.20511,7.69009
5,32.19,4,-15.66,-21.7856,-33.5468
34,206.5,3,-19.02,-36.4379,-6.42498
35,212.36,2,-21.88,5.34604,2.72394
36,218,15,17.06,25.7798,55.2848
20,122.49,28,56.41,62.3597,14.3969
15,92.38,10,2.16,-24.0902,-34.4044
22,134.3,23,41.02,-1.65383,-5.76757
3,20.18,30,62.02,-3.39219,-2.11968
19,116.02,20,32.11,85.359,10.4808
36,218.03,26,50.41,50.7874,35.5617
24,146.14,32,68.12,-42.9659,-46.0753
17,104.48,15,17.5,11.1145,11.5094
24,146.48,14,14.51,33.3436,34.5283
31,188.44,36,80.01,5.47025,12.8871
18,110.19,20,32.41,-92.0949,-12.9431
27,164.4,32,68.48,-1.11839,-1.65807
13,80.25,32,68.46,-44.1763,-65.4939
2,14.14,12,9.14,-84.644,-27.5025
0,2.32,32,68.05,-59.8793,-11.6393
10,62.26,9,-0.81,71.129,16.4214
37,224.29,31,64.99,-77.4677,-58.376
3,20.54,22,38.53,37.2817,44.4305
17,103.97,32,67.98,-80.3483,-42.7219
14,86.46,30,62.04,-45.3184,-43.7635
25,152.36,38,86.43,1.89104,0.651136
34,206.28,28,56.35,-36.4909,-56.1909
12,74.34,1,-24.97,4.85148,1.20961
21,127.99,31,65.5,46.4131,68.8101
8,50.15,10,2.36,16.6652,54.5094
20,121.99,39,89.28,-87.4748,-25.083
15,92.32,25,47.32,-6.33929,-13.5946
27,164.06,7,-6.55,13.3651,6.80985
19,116.33,26,50.48,0.891007,0.45399
12,74.47,32,68.51,-56.8279,-54.878
14,86.38,11,5.11,-47.6422,-5.84972
27,164.56,8,-3.71,-18.1271,-49.8037
23,140.11,15,17.39,33.8074,9.05866
7,44.11,19,29.1,-20.8451,-9.72021
27,164.18,22,38.36,-3.93923,-0.694592
8,50.27,29,59.49,16.0591,17.8355
24,146.41,5,-12.99,-9.37757,-22.0921
30,182.28,6,-9.98,5.70634,1.8541
7,44.3,8,-3.45,72.3204,29.2193
11,68.23,39,89.42,-17.5,-30.3109
21,128.43,37,83.27,85.7128,47.5113
3,20.11,18,26.45,57.916,11.2577
20,122.46,18,26.56,56.4211,64.905
32,195.22,29,59.09,14.1069,19.4164
30,182.52,5,-12.62,-67.3382,-9.46376
28,170.5,9,-0.78,25.1769,24.313
19,116.48,13,11.26,78.4111,9.62767
36,218.49,33,71.03,56.624,27.6174
2,14.04,37,83.48,0,0
30,181.99,0,-27.75,-3.99318,-3.00907
3,20.2,38,86.01,-16.9574,-27.1375
3,20.17,24,44.45,-34.4215,-62.098
13,80.14,20,32.55,82.1923,11.5514
10,62.02,10,2.36,10.9405,25.7741
24,146.16,16,20.01,35.053,17.0965
8,49.99,34,74.03,65.8799,55.2797
12,74.18,15,17.13,2.93012,8.50966
24,146.39,6,-9.99,-90.441,-40.2669
19,116.4,7,-6.93,11,19.0526
4,26.35,6,-9.62,-62.9932,-75.0723
12,74.39,39,89.36,-31.1239,-85.512
14,86.5,38,86.38,8.47881,27.7328
17,104.43,22,38.32,-28.1908,-10.2606
5,32.47,18,26.21,8.18399,8.77624
19,116.13,30,62.55,68.1505,10.794
3,20.19,27,53.52,-35.8997,-15.2385
12,74.24,1,-24.92,26.7765,8.1864
39,236.42,28,56.3,-15.0982,-22.384
29,176.15,13,11.24,-16.7125,-19.9171
20,122.1,33,70.99,2.36403,1.84698
27,164.56,17,23.11,71.4785,19.1526
2,14.43,17,23.12,-31.5,-54.5596
37,224.25,2,-21.97,-54.5022,-19.8372
37,224.08,25,47.47,4.38372,8.98794
7,44.19,25,47.49,47.538,44.3299
35,212.01,27,53.01,23.5908,52.9856
34,206.29,20,32.4,-0.438372,-0.898794
28,170.53,38,86.4,-10.159,-23.9331
18,110.28,15,17.53,91.5871,16.1493
15,92.49,8,-3.63,65.1138,54.6369
1,8.29,29,59.25,26.6156,25.7023
22,134.4,3,-18.61,-12.9031,-1.5843
11,68.44,38,86.38,-70.921,-55.4095
33,200.38,16,20.05,35.3833,10.8177
6,38.49,34,74.43,84.5344,8.88491
11,68.15,24,44.29,14.1842,11.0819
3,20.17,36,80.03,56.6873,47.5662
28,170.15,23,41.15,-0.52992,-0.848048
3,20.42,6,-9.71,22.0813,24.5238
14,86.36,8,-3.83,-14.7069,-40.4068
12,74.17,3,-18.47,-7.95618,-0.836227
21,128.52,14,14.34,-5.8707,-3.81247
13,80.3,6,-9.75,-47.1181,-9.15882
13,80.24,31,65.37,18.9076,34.1101
3,20.22,8,-3.8,29.4138,80.8135
28,170.35,6,-9.6,-19.5016,-27.8512
25,152.44,18,26.48,-3.23607,-2.35114
19,116.18,25,47.15,-83.1327,-37.013
4,26,28,56.44,-11.3498,-22.2752
15,92.07,33,71.52,11.6065,7.82869
1,8.51,9,-0.64,-13.5446,-17.3362
1,8.12,26,50.56,-14.7209,-16.3492
3,20.54,16,20.25,-49.0561,-42.6438
9,56.48,1,-24.86,-41.9335,-27.2319
37,224.55,18,26.48,91.855,14.5484
2,14.23,11,5.41,-1.67758,-2.48711
31,188.16,8,-3.65,31.9058,92.6608
13,80.38,23,41.46,0.559194,0.829037
7,43.99,34,74.37,24.6265,31.5204
28,170.34,15,17.36,43.8812,40.9199
3,20.2,35,77.31,-42.3277,-31.8962
15,92.47,31,65.12,19.8509,2.43739
21,128.5,15,17.54,-59.3805,-26.4379
8,50.19,11,5.31,62.3869,8.7679
31,188.08,1,-24.57,-43.6171,-64.6649
15,92.23,36,79.99,90.6023,15.9756
14,86.37,26,50.55,-21.8165,-39.3579
12,74.34,0,-27.44,10.7246,8.99902
0,2.51,29,59.29,32.7359,35.105
35,212.37,16,20.05,-44.5344,-59.099
30,182.3,16,20.15,-13.9798,-20.7259
14,86.19,1,-24.63,10.064,6.53566
26,158.13,5,-12.85,52.0994,53.9505
5,32.53,25,47.12,25.1728,31.0858
19,116.44,18,26.24,94.8181,15.0177
18,110.55,30,62.31,-23.6354,-4.16755
35,212.47,19,29.05,59.5982,17.0895
37,224.18,7,-6.69,-28.5594,-5.03579
26,158.34,23,41.2,-18,-31.1769
9,56.52,2,-21.76,72.4444,19.4114
24,146.3,8,-3.97,24.4124,75.1334
23,140.32,39,89.4,14.3446,4.38557
6,38.09,23,41.03,85.4016,16.6004
13,80.5,3,-18.47,-7.05343,-9.7082
31,188.07,7,-6.58,33.4179,35.8363
16,98.22,15,17.53,30.6183,4.84946
5,32.12,1,-24.98,48.9074,10.3956
39,236.33,21,35.51,-13.1644,-12.276
20,122.04,13,11.33,21.7469,7.48806
35,212.23,24,44.51,60.8676,19.7771
16,98.49,11,5,-64.1525,-32.6873
